,ss_username,cf_username,cf_rating,cc_username,cc_rating
8460,AVmktl,avmktl,1188.9,lakshya_25,1469
8461,deidzen,deidzen,1188.9,deidzen,1469
8462,Kuxha,kuxha,1014,kuxha,1468
8463,ChasedByDeath,chasedbydeath,1234,chasedbydeath,1468
8464,nafis0014,nafis._.islam,1253,nafis0014,1468
8465,saqlain1,saqlain_-,1188.1,saqlain7,1468
8466,deepcoder_B,deepcoder_b,1188.1,deepcoder_123,1468
8467,aditya76,aditya76,1188.1,aditya76,1468
8468,shivangsrivastava__,shivang9369,775,shivang_2123,1467
8469,ayushvaish2511,ayushvaish2511,921,ayushvaish2511,1467
8470,ajaydangi2312,ajaydangi,1019,ajay23122,1467
8471,TerminalWarlord,terminalwarlord,1080,jaybeeop,1467
8472,rusrushal13,first_ranger,1156,rusrushal13,1467
8473,sankranthi,sankranthi,1402,sankranthi,1467
8474,chick_magnet,chick_magnet,1752,rohitpal210,1467
8475,vicrant,_s1mple_,1187.3,vicrant,1467
8476,vedant,,1187.3,vedant_2406,1467
8477,Pallavi_kapoor,paku11,919,paku11,1466
8478,manoj_mi5,amanoj271,1100,amanoj03,1466
8479,soul_mortal,adarsh__786,1136,adarsh__786,1466
8480,vatsalkesarwani1201,vk_boss,1173,vk_boss,1466
8481,syntaxhacker,syntax_hacker,1194,syntaxhacker,1466
8482,rt_roxxxx,rt_roxxxx,1342,illogical_at_p,1466
8483,mo11,hasanxack,1409,mo11,1466
8484,sjteckers,sjteckers,1186.4,sjteckers,1466
8485,gtgstg,gtgstg,1186.4,gtgstg,1466
8486,PrasanthGuvvala,rowingpy,1186.4,cs_1,1466
8487,pk_97,pk.97,1186.4,palash_240997,1466
8488,TRILOK,trilok363,809,ttrilok363,1465
8489,vs_coder,vs_codee,878,vs_code,1465
8490,vs_code,vs_codee,878,vs_code,1465
8491,9643kavinder,9643kavinder,963,kavinder_p,1465
8492,maycod23,maycod23,1236,maycod23,1465
8493,VASUGARG25,vasugarg25,1185.6,vasugarg25,1465
8494,Shivam0704,shivam6,902,shivam07042004,1464
8495,theshivamchand,theshivamchand,954,theshivamchand,1464
8496,Lu_Mahed,lu_mahed,1000,lu_mahed,1464
8497,PuBi,arch_7,1057,pubi_17,1464
8498,walissonpj,walissonpj,1135,walissonpj,1464
8499,pranav_63,pranav_63,1308,pranav_63,1464
8500,hail,raden,1184.8,aeonsshubham,1464
8501,ankit_bws,thegoodgaba,1184.8,ankit_bws,1464
8502,ssonje,ssonje,1184.8,ssonje,1464
8503,Tanjila_Joti,tanjila_joti,1184.8,tanjilajoti,1464
8504,hackingwave,system319,1184.8,agent786,1464
8505,9xzer0,labibalfaisal,990,faisalzer0,1463
8506,aris12345678,aris12345,999,aris12345678,1463
8507,aksingh007,aksingh007,1504,aksingh007,1463
8508,h2010030494,h2010030494,817,h2010030494,1462
8509,pks121123,pks667553,941,pks_12345,1462
8510,Returaj,returaj0808,943,returaj0808,1462
8511,TAJBIN,tajbin_mu,1183.1,tajbin_mu,1462
8512,Tajbin_Jahan,tajbin_mu,1183.1,tajbin_mu,1462
8513,Nikhil_Kumar,roman_kruger,1183.1,lm10god,1462
8514,kamboj11,kamboj1110,1183.1,kamboj11,1462
8515,snayan06,snayan06,1183.1,snayan06,1462
8516,farhan61,farhan61,1183.1,farhan61,1462
8517,ketanmehta,,1183.1,ketanmehta,1462
8518,sauravkumar405,,1183.1,saurav2710,1462
8519,PixelMan360,mridul360,857,mrichigo360,1461
8520,Compass,man_in_danger,1042,compus1,1461
8521,sandilya1599,sandilya1599,1182.3,sandilya1599,1461
8522,AlamRishad,alamrishad,1182.3,alam_rishad,1461
8523,AnkitAti,ankitati,1182.3,ankitati,1461
8524,DarkLord,dark_lord_,1182.3,abhilash184,1461
8525,sunnykr73529,sunny_kumar,758,sunnykr73529,1460
8526,prajakta0407,prajakta04,1127,prajakta0407,1460
8527,Rasel_brur,rasel,1243,rasel33,1460
8528,eblabrada,eblabrada_,1518,eblabrada,1460
8529,Subarna578,subarna578,1181.5,subarna578,1460
